Model,Price,Brand,Mileage,Year,Fuel
Wagon R   AGS,300000,Suzuki,15675,2021,Petrol
Wagon R   Hybrid FZ,340000,Suzuki,45912,2017,Hybrid
Fortuner   2.7 VVTi,1100000,Toyota,33117,2017,Petrol
Sportage   FWD,7950000,KIA,12665,2022,Petrol
Vitz   F 1.0,290000,Toyota,51616,2014,Petrol
Corolla   GLi 1.3 VVTi,250000,Toyota,101855,2014,Petrol
Corolla   Altis 1.6 X CVT-i Special Edition,650000,Toyota,8403,2022,Petrol
Swift   DLX Automatic 1.3,240000,Suzuki,73047,2014,Petrol
Vitz   F 1.0,2650000,Toyota,70005,2014,Petrol
Wagon R   VXL,280000,Suzuki,9262,2021,Petrol
Passo   X,380000,Toyota,38048,2018,Petrol
Fortuner   2.7 V,1750000,Toyota,5329,2022,Petrol
Picanto   1.0 AT,3250000,KIA,11727,2022,Petrol
Cultus   VXR,230000,Suzuki,7267,2019,Petrol
Wagon R   VXL,1950000,Suzuki,184643,2015,Petrol
City 5th Generation  1.3 i-VTEC Prosmatec,3750000,Honda,70300,2018,Petrol
Fortuner   2.7 V,1500000,Toyota,12446,2021,Petrol
Alto   VXL AGS,2720000,Suzuki,23467,2021,Petrol
HS   1.5 Turbo,740000,MG,31947,2021,Petrol
Vezel   Hybrid RS Honda Sensing,680000,Honda,56491,2017,Petrol
Cultus   VXRi,830000,Suzuki,70863,2008,Petrol
Fortuner   2.8 Sigma 4,15500000,Toyota,16242,2021,Diesel
Alto   VXR,2430000,Suzuki,14167,2022,Petrol
Fortuner   2.8 Sigma 4,14500000,Toyota,60601,2019,Diesel
Fortuner   2.7 VVTi,11200000,Toyota,33819,2017,Petrol
Mira   X SA lll,32250000,Daihatsu,72999,2018,Petrol
Yaris   ATIV CVT 1.3,490000,Toyota,5328,2022,Petrol
Fortuner   2.7 V,17500000,Toyota,467,2022,Petrol
Sportage   Alpha,680000,KIA,27728,2022,Petrol
Fortuner   2.7 V,15500000,Toyota,33132,2021,Petrol
